"","Date","Day","HighTemp","LowTemp","Precipitation","BrooklynBridge","Total","AvgTemp","PrecipFactor"
"1",2017-07-01,"Saturday",84.9,72,0.23,1848,11867,78.45,"Yes"
"2",2017-07-02,"Sunday",87.1,73,0,2467,13995,80.05,"No"
"3",2017-07-03,"Monday",87.1,71.1,0.45,2714,16067,79.1,"Yes"
"4",2017-07-04,"Tuesday",82.9,70,0,2296,13925,76.45,"No"
"5",2017-07-05,"Wednesday",84.9,71.1,0,3170,23110,78,"No"
"6",2017-07-06,"Thursday",75,71.1,0,3065,21861,73.05,"No"
"7",2017-07-07,"Friday",79,68,1.78,1513,12805,73.5,"Yes"
"8",2017-07-08,"Saturday",82.9,70,0,2718,17258,76.45,"No"
"9",2017-07-09,"Sunday",81,69.1,0,3048,18320,75.05,"No"
"10",2017-07-10,"Monday",82.9,71.1,0,3506,24827,77,"No"
"11",2017-07-11,"Tuesday",84,75,0,2929,21743,79.5,"No"
"12",2017-07-12,"Wednesday",87.1,77,0,2860,21174,82.05,"No"
"13",2017-07-13,"Thursday",89.1,77,0,2563,18290,83.05,"No"
"14",2017-07-14,"Friday",69.1,64.9,0.35,907,8210,67,"Yes"
"15",2017-07-15,"Saturday",82.9,68,0,2853,17259,75.45,"No"
"16",2017-07-16,"Sunday",84.9,70,0,2917,17539,77.45,"No"
"17",2017-07-17,"Monday",84.9,73.9,0,3264,23837,79.4,"No"
"18",2017-07-18,"Tuesday",87.1,75.9,0,3507,25038,81.5,"No"
"19",2017-07-19,"Wednesday",91,77,0,3114,22847,84,"No"
"20",2017-07-20,"Thursday",93,78.1,0.01,2840,20405,85.55,"Yes"
"21",2017-07-21,"Friday",91,77,0,2751,19773,84,"No"
"22",2017-07-22,"Saturday",91,78.1,0.57,2301,14422,84.55,"Yes"
"23",2017-07-23,"Sunday",78.1,73,0.06,2321,13297,75.55,"Yes"
"24",2017-07-24,"Monday",69.1,63,0.74,1576,11862,66.05,"Yes"
"25",2017-07-25,"Tuesday",71.1,64,0,3191,23586,67.55,"No"
"26",2017-07-26,"Wednesday",75.9,66,0,3821,26969,70.95,"No"
"27",2017-07-27,"Thursday",77,66.9,0,3287,23129,71.95,"No"
"28",2017-07-28,"Friday",84.9,73,0,3123,21741,78.95,"No"
"29",2017-07-29,"Saturday",75.9,68,0,2074,14814,71.95,"No"
"30",2017-07-30,"Sunday",81,64.9,0,3331,18696,72.95,"No"
"31",2017-07-31,"Monday",88,66.9,0,3560,24284,77.45,"No"
