"","Year","Nitrogen Oxide","Sulphur Dioxide","Carbon Monoxide","Organic Carbon","NMVOCs","Black Carbon","Ammonia","total"
"1",1970,25172898.17,28636806.12,178119149.1,563555.25,30867547.08,361531.33,2812446.84,266533933.89
"2",1971,25419599.58,27769490.29,176796148.9,594411.53,30505468.25,389526.01,2844726,264319370.56
"3",1972,26347595.93,28579346.58,179489428.2,589077.3,30688554.47,389497.29,2851132.86,268934632.63
"4",1973,27172554.3,30179080.68,179352235.5,579304.81,30324240.07,394811.97,2898431.27,270900658.6
"5",1974,25823442.75,28155975.69,168050029.9,582602.07,28655881.97,381489.51,2871177.27,254520599.16
"6",1975,24579698.36,26301377.53,162504676.3,595398.83,27354428.33,365693.38,2932685.72,244633958.45
"7",1976,25805583.84,27379725.29,168243710.8,636662.1,28016717.02,384568.12,2966551.17,253433518.34
"8",1977,26410632.75,27345283.71,170672136.1,674992.98,28627040.34,398215.92,2932010.06,257060311.86
"9",1978,26381758.56,25377444.93,173238157.5,710937.05,29017591.92,404759.86,2964924.21,258095574.03
"10",1979,26066032.39,25163499.02,164388520.3,797752.82,28481861.91,431933.67,2994459.12,248324059.23
"11",1980,24693056.47,23841380.12,153690867.3,786793.02,27028848.26,372120.31,3070649.94,233483715.42
"12",1981,24189160.1,22729978.22,151635569.5,771610.47,26361710.89,357836.72,3041998.77,229087864.67
"13",1982,22798108.69,21318466.78,148324697,770666.89,25552870.17,338488.66,2886341.42,221989639.61
"14",1983,22698412.07,20706292.36,147349771.2,764056.82,24998625.97,338865.65,2930408.81,219786432.88
"15",1984,23554834.53,21697036.39,146315802,772268.95,24635315.44,343826.78,2951996.87,220271080.96
"16",1985,23263629.04,21394536.4,148017057,771403.02,24443455.92,334160.88,2867864.79,221092107.05
"17",1986,22879525.79,20978919.01,144008163.5,774952.38,23994615.18,338435.12,2851979.18,215826590.16
"18",1987,23224761.42,21192734.16,141314375,811456.28,23614297.72,344873.4,2910966.99,213413464.97
"19",1988,23844857.31,21653740.51,138917398.4,813648.91,23210331.45,360304.09,2913202.93,211713483.6
"20",1989,23606631.41,21640143.1,132915203.2,867438.96,22385293.35,353471.93,2992790.9,204760972.85
"21",1990,22793844.74,21123048.33,120924172.9,644312.54,20763012.1,339223.91,2988703.99,189576318.51
"22",1991,22400598.8,20444618.1,119628941,683095.2,20894550.8,321174.13,3033203.41,187406181.44
"23",1992,22530462.56,20058118.96,114670008.5,708693.26,20603006.84,304703.62,3076504.12,181951497.86
"24",1993,22327876.86,19733550.83,106397959.1,541822.12,19871148.97,286495.09,3129357.96,172288210.93
"25",1994,22077568.64,19339483.13,106154216.3,527520.02,20045072.84,284429.91,3180555.35,171608846.19
"26",1995,21814666.8,16857011,105093039.5,499753.89,20030704.06,270097.37,3229687.84,167794960.46
"27",1996,21494017.34,16642916.22,97357175.19,540573.93,17439939.3,271379.82,3258426.16,157004427.96
"28",1997,21500103.54,17033129.11,95373953.01,503169.95,17435510.08,265171.99,3326259.24,155437296.92
"29",1998,21158623.84,17099078.69,93481419.61,477893.19,16911893.78,249571.47,3407220.21,152785700.79
"30",1999,19811980.53,15725534.19,84179967.33,489040.09,15831159.17,238169.83,3351994.84,139627845.98
"31",2000,19789098.46,14703387.32,85205652.26,468112.09,15606780.69,228271.22,3388772.88,139390074.92
"32",2001,19212334.29,14357674.13,81898981.19,431185.71,15527200.69,230881.98,3344609.74,135002867.73
"33",2002,18255470.68,13191002.09,72205063.21,415471.94,14985288.43,221960.27,3416370.59,122690627.21
"34",2003,17507746.06,13054294.38,67452999.74,435739.61,14286801.44,221798.75,3426426.16,116385806.14
"35",2004,17251537.75,12922228.67,65227772.72,445886.65,13833431.95,235832.3,3436400.49,113353090.53
"36",2005,16603341.14,12966839.11,63801911.74,454713.1,13644331.39,238346.75,3446166.54,111155649.77
"37",2006,16121716.19,11745092.32,62379555.2,433528.76,14001871.89,233478.21,3578483.75,108493726.32
"38",2007,15344278.57,10529983.48,57593403.72,433209.73,14020344.85,230375.53,3710534.48,101862130.36
"39",2008,14022631.9,9305275.74,51499722.93,437246.91,12704376.46,220671.2,3772066.09,91961991.23
"40",2009,12890227.38,8163445.61,43653743.43,425217.56,12433575.01,202696.26,3732191,81501096.25
"41",2010,12016561.45,7000107.86,41389942.15,442252.21,12438856.79,210570.14,3692313.75,77190604.35
"42",2011,11998356.97,5850552.47,42327922.89,423555.95,12942124.46,185060.31,3471445.64,77199018.69
"43",2012,11339090.47,4614837.6,37650663.46,369205.57,12426273.95,165282.79,3281135.26,69846489.1
"44",2013,10942089.08,4421267.7,37618180.85,406023.86,12329489.93,171487.2,3273099.55,69161638.17
"45",2014,10472476.25,4277573.02,36317379.65,404979.44,12116320.02,162980.25,3082492.06,66834200.69
"46",2015,9862492.32,3655967.34,35682142.26,376771.3,11795045.13,159738.49,3257383.84,64789540.68
"47",2016,8891820.48,3015954.72,32513589.57,335409.38,11243907.44,149319.48,3431362.46,59581363.53
"48",2017,8352825.57,2364006.07,30812696.63,314016,10883947.31,141891.15,3608419.28,56477802.01
"49",2018,8004348.01,2280939.46,29260964.57,297709.86,10698303.81,136314.53,3602809.01,54281389.25
"50",2019,7679316.62,1921172.15,28843362.52,279399.57,10646076.14,128396.08,3628009.15,53125732.23
